표준코드,ticker,한글 종목명,name,영문 종목명,start_date,시장구분,증권구분,소속부,주식종류,액면가,상장주식수,산업분류
KR7066410002,066410,버킷스튜디오,버킷스튜디오,"BUCKET STUDIO Co.,Ltd.",2003/12/19,KOSDAQ,주권,중견기업부,보통주,500,"84,109,926",통신방송서비스
KR7002410009,002410,범양건영보통주,범양건영,BUMYANG CONSTRUCTION,1988/05/25,KOSPI,주권,,보통주,"1,000","24,831,982",건설업
KR7382900009,382900,범한퓨얼셀,범한퓨얼셀,"Bumhan Fuel Cell Co., Ltd.",2022/06/17,KOSDAQ,주권,벤처기업부,보통주,500,"8,761,000",일반전기전자
KR7206400004,206400,베노홀딩스,베노홀딩스,"Benoholdings, lnc.",2014/12/10,KOSDAQ,주권,벤처기업부,보통주,500,"28,834,011",건설
KR7019010008,019010,베뉴지,베뉴지,"VenueG Co.,Ltd.",1993/11/05,KOSDAQ,주권,중견기업부,보통주,500,"48,200,000",유통
KR7322190000,322190,베른,베른,VERNE,2020/12/29,KONEX,주권,일반기업부,보통주,100,"8,925,197",#N/A
KR7177350006,177350,베셀,베셀,"Vessel Co., Ltd",2015/06/19,KOSDAQ,주권,중견기업부,보통주,500,"12,393,794",IT H/W
KR7299910000,299910,베스파,베스파,Vespa Inc.,2018/12/03,KOSDAQ,주권,투자주의환기종목(소속부없음),보통주,500,"8,206,916",IT S/W & SVC
KR7007210008,007210,벽산보통주,벽산,Byuksan,1972/01/04,KOSPI,주권,,보통주,500,"68,560,000",비금속광물
KR7225530005,225530,보광산업,보광산업,"BoKwang Industry Co.,Ltd",2015/12/17,KOSDAQ,주권,우량기업부,보통주,500,"36,338,727",비금속
KR7250000007,250000,보라티알,보라티알,"BORATR CO., Ltd.",2017/06/08,KOSDAQ,주권,중견기업부,보통주,500,"6,750,733",유통
KR7002760007,002760,보락보통주,보락,Bolak,1989/11/30,KOSPI,주권,,보통주,200,"59,900,000",화학
KR7003850005,003850,보령보통주,보령,Boryung,1988/10/24,KOSPI,주권,,보통주,500,"68,690,000",의약품
