표준코드,ticker,한글종목명,name,start_date,기초지수명,지수산출기관,기초자산분류
KR7270800006,270800,KB KBSTAR KQ고배당증권상장지수투자신탁(주식),KBSTAR KQ고배당,2017/07/07,FnGuide KQ고배당포커스 지수,FnGuide,주식
KR7307010009,307010,KB KBSTAR KRX300레버리지증권상장지수투자신탁(주식-파생형),KBSTAR KRX300레버리지,2018/10/16,KRX 300,KRX,주식
KR7319870002,319870,KB KBSTAR KRX300미국달러선물혼합자산상장지수투자신탁(혼합-파생형),KBSTAR KRX300미국달러선물혼합,2019/03/19,KRX 300 미국달러 선물혼합지수,KRX,주식
KR7292050002,292050,KB KBSTAR KRX300증권상장지수투자신탁(주식),KBSTAR KRX300,2018/03/26,KRX 300,KRX,주식
KR7403990005,403990,KB KBSTAR KRX기후변화솔루션증권상장지수투자신탁(주식),KBSTAR KRX기후변화솔루션,2021/10/29,KRX 기후변화 솔루션지수,KRX,주식
KR7442550000,442550,KB KBSTAR TDF2030액티브증권상장지수투자신탁(혼합-재간접형),KBSTAR TDF2030액티브,2022/09/22,iSelect 전략적자산배분 TDF 2030 지수,NH투자증권,기타
KR7442560009,442560,KB KBSTAR TDF2040액티브증권상장지수투자신탁(혼합-재간접형),KBSTAR TDF2040액티브,2022/09/22,iSelect 전략적자산배분 TDF 2040 지수,NH투자증권,기타
KR7442570008,442570,KB KBSTAR TDF2050액티브증권상장지수투자신탁(혼합-재간접형),KBSTAR TDF2050액티브,2022/09/22,iSelect 전략적자산배분 TDF 2050 지수,NH투자증권,기타
KR7234310001,234310,KB KBSTAR V&S셀렉트밸류증권상장지수투자신탁(주식),KBSTAR V&S셀렉트밸류,2016/02/02,FnGuide 셀렉트 밸류 지수,FnGuide,주식
KR7241390004,241390,KB KBSTAR V&S셀렉트밸류채권혼합증권상장지수투자신탁(채권혼합),KBSTAR V&S셀렉트밸류채권혼합,2016/04/12,FnGuide 셀렉트벨류 채권혼합지수,FnGuide,혼합자산
KR7401170006,401170,KB KBSTAR iSelect메타버스증권상장지수투자신탁(주식),KBSTAR iSelect메타버스,2021/10/13,iSelect 메타버스 지수(시장가격지수),NH투자증권,주식
KR7300640000,300640,KB KBSTAR 게임테마증권상장지수투자신탁(주식),KBSTAR 게임테마,2018/07/24,WISE 게임 테마 지수 (시장가격지수),WiseFn,주식
KR7266160001,266160,KB KBSTAR 고배당증권상장지수투자신탁(주식),KBSTAR 고배당,2017/04/14,FnGuide 고배당포커스 지수,FnGuide,주식
KR7282000009,282000,KB KBSTAR 국고채3년선물인버스증권상장지수투자신탁(채권-파생형),KBSTAR 국고채3년선물인버스,2017/11/09,국채선물지수,KRX,채권
KR7114100001,114100,KB KBSTAR 국고채3년증권상장지수투자신탁(채권),KBSTAR 국고채3년,2009/07/29,KTB INDEX(시장가격),KRX,채권
KR7295020002,295020,KB KBSTAR 국채선물10년인버스증권상장지수투자신탁(채권-파생형),KBSTAR 국채선물10년인버스,2018/05/11,10년국채선물지수,KRX,채권
KR7295000004,295000,KB KBSTAR 국채선물10년증권상장지수투자신탁(채권-파생형),KBSTAR 국채선물10년,2018/05/11,10년국채선물지수,KRX,채권
KR7432600005,432600,KB KBSTAR 국채선물3년증권상장지수투자신탁(채권-파생형),KBSTAR 국채선물3년,2022/06/14,국채선물지수,KRX,채권
KR7397410002,397410,KB KBSTAR 국채선물5년추종인버스증권상장지수투자신탁(채권-파생형),KBSTAR 국채선물5년추종인버스,2021/08/31,5년 국채선물 추종 지수,KRX,채권
KR7397420001,397420,KB KBSTAR 국채선물5년추종증권상장지수투자신탁(채권-파생형),KBSTAR 국채선물5년추종,2021/08/31,5년 국채선물 추종 지수,KRX,채권
KR7276650009,276650,KB KBSTAR 글로벌4차산업IT증권상장지수투자신탁(주식-파생형)(합성 H),KBSTAR 글로벌4차산업IT(합성 H),2017/08/17,S&P Global 1200 Information Technology and Interactive Media & Services(PR),S&P,주식
KR7437370000,437370,KB KBSTAR 글로벌농업경제MV증권상장지수투자신탁(주식),KBSTAR 글로벌농업경제MV,2022/07/29,MVIS Global Agribusiness Index(Price Return),MVIS,주식
KR7375270006,375270,KB KBSTAR 글로벌데이터센터리츠나스닥부동산상장지수투자신탁(파생형)(합성),KBSTAR 글로벌데이터센터리츠나스닥(합성),2021/01/14,Kelly Data Center & Tech Infrastructure Net Total Return Index,NASDAQ,부동산
KR7411720006,411720,KB KBSTAR 글로벌메타버스Moorgate증권상장지수투자신탁(주식),KBSTAR 글로벌메타버스Moorgate,2021/12/22,Global Metaverse Index(Price Return),Moorgate,주식
KR7417450004,417450,KB KBSTAR 글로벌수소경제Indxx증권상장지수투자신탁(주식),KBSTAR 글로벌수소경제Indxx,2022/02/15,Indxx Hydrogen Economy Index (Net Total Return),Indxx,주식
KR7442320008,442320,KB KBSTAR 글로벌원자력iSelect증권상장지수투자신탁(주식),KBSTAR 글로벌원자력iSelect,2022/10/13,iSelect 글로벌원자력 지수(시장가격),NH투자증권,주식
KR7399580000,399580,KB KBSTAR 글로벌클린에너지S&P증권상장지수투자신탁(주식),KBSTAR 글로벌클린에너지S&P,2021/10/21,S&P Global Clean Energy Index (Price Return),S&P,주식
KR7336160007,336160,KB KBSTAR 금융채액티브증권상장지수투자신탁(채권),KBSTAR 금융채액티브,2019/10/29,KIS 종합채권금융채 2.5Y-3Y 지수 (총수익),KIS 채권평가,채권
KR7326230000,326230,KB KBSTAR 내수주플러스증권상장지수투자신탁(주식),KBSTAR 내수주플러스,2019/06/20,FnGuide 내수주플러스 지수,FnGuide,주식
KR7272560004,272560,KB KBSTAR 단기국공채액티브증권상장지수투자신탁(채권),KBSTAR 단기국공채액티브,2017/06/29,KIS 종합채권국공채3M~1.5Y지수,KIS 채권평가,채권
KR7196230007,196230,KB KBSTAR 단기통안채증권상장지수투자신탁(채권),KBSTAR 단기통안채,2014/05/19,KIS 통안채 5개월 지수(총수익),KIS 채권평가,채권
KR7315960005,315960,KB KBSTAR 대형고배당10Total Return증권상장지수투자신탁(주식),KBSTAR 대형고배당10TR,2019/01/22,WISE 대형고배당10 TR 지수,WiseFn,주식
KR7252730007,252730,KB KBSTAR 모멘텀로우볼증권상장지수투자신탁(주식),KBSTAR 모멘텀로우볼,2016/10/14,FnGuide 모멘텀&로우볼 지수,FnGuide,주식
KR7252720008,252720,KB KBSTAR 모멘텀밸류증권상장지수투자신탁(주식),KBSTAR 모멘텀밸류,2016/10/14,FnGuide 모멘텀&밸류 지수,FnGuide,주식
KR7379780000,379780,KB KBSTAR 미국S&P500증권상장지수투자신탁(주식),KBSTAR 미국S&P500,2021/04/09,S&P 500,S&P,주식
KR7219390002,219390,KB KBSTAR 미국S&P원유생산기업증권상장지수투자신탁(주식-파생형)(합성 H),KBSTAR 미국S&P원유생산기업(합성 H),2015/06/02,S&P Oil & Gas Exploration & Production Select Industry Index(PR),S&P,주식
KR7354240004,354240,KB KBSTAR 미국고정배당우선증권ICE TR증권상장지수투자신탁(주식혼합),KBSTAR 미국고정배당우선증권ICE TR,2020/05/19,ICE BofAML Core Plus Fixed Rate Preferred Securities Index,"ICE Data Indices, LLC",혼합자산
KR7368590006,368590,KB KBSTAR 미국나스닥100증권상장지수투자신탁(주식),KBSTAR 미국나스닥100,2020/11/06,NASDAQ 100,NASDAQ,주식
