표준코드,ticker,한글종목명,name,start_date,기초지수명,지수산출기관,기초자산분류
KR7438740003,438740,마이다스 마이다스 KoreaStock중소형액티브증권상장지수투자신탁(주식),마이다스 KoreaStock중소형액티브,2022/08/17,코스피 중형주,KRX,주식
KR7137930004,137930,마이다스 코스피200커버드콜5%OTM증권상장지수투자신탁(주식),마이다스 200커버드콜5%OTM,2011/02/15,코스피 200 커버드콜 5% OTM,KRX,주식
KR7407160001,407160,메리츠 MASTER TMT테크미디어텔레콤액티브증권상장지수투자신탁(주식),MASTER 테크미디어텔레콤액티브,2021/11/16,FnGuide TMT 지수,FnGuide,주식
KR7407170000,407170,메리츠 MASTER 스마트커머스액티브증권상장지수투자신탁(주식),MASTER 스마트커머스액티브,2021/11/16,FnGuide 스마트커머스 지수,FnGuide,주식
KR7310960000,310960,미래에셋 TIGER 200 Total Return증권상장지수투자신탁(주식),TIGER 200TR,2018/11/20,코스피 200 TR,KRX,주식
KR7227550001,227550,미래에셋 TIGER 200 산업재 증권상장지수투자신탁(주식),TIGER 200 산업재,2015/09/23,코스피 200 산업재,KRX,주식
KR7227560000,227560,미래에셋 TIGER 200 생활소비재 증권상장지수투자신탁(주식),TIGER 200 생활소비재,2015/09/23,코스피 200 생활소비재,KRX,주식
KR7102110004,102110,미래에셋 TIGER 200 증권상장지수투자신탁(주식),TIGER 200,2008/04/03,코스피 200,KRX,주식
KR7243880002,243880,미래에셋 TIGER 200IT레버리지증권상장지수투자신탁(주식-파생형),TIGER 200IT레버리지,2016/05/13,코스피 200 정보기술,KRX,주식
KR7252000005,252000,미래에셋 TIGER 200동일가중증권상장지수투자신탁(주식),TIGER 200동일가중,2016/09/20,코스피 200 동일가중지수,KRX,주식
KR7267770006,267770,미래에셋 TIGER 200선물레버리지증권상장지수투자신탁(주식-파생형),TIGER 200선물레버리지,2017/04/25,코스피 200 선물지수,KRX,주식
KR7252710009,252710,미래에셋 TIGER 200선물인버스2X증권상장지수투자신탁(주식-파생형),TIGER 200선물인버스2X,2016/09/22,코스피 200 선물지수,KRX,주식
KR7243890001,243890,미래에셋 TIGER 200에너지화학레버리지증권상장지수투자신탁(주식-파생형),TIGER 200에너지화학레버리지,2016/05/13,코스피 200 에너지/화학,KRX,주식
KR7315270009,315270,미래에셋 TIGER 200커뮤니케이션서비스증권상장지수투자신탁(주식),TIGER 200커뮤니케이션서비스,2019/01/15,코스피 200 커뮤니케이션서비스,KRX,주식
KR7289480006,289480,미래에셋 TIGER 200커버드콜ATM증권상장지수투자신탁(주식-파생형),TIGER 200커버드콜ATM,2018/02/09,코스피 200 커버드콜 ATM 지수,KRX,주식
KR7227540002,227540,미래에셋 TIGER 200헬스케어증권상장지수투자신탁(주식),TIGER 200 헬스케어,2015/09/23,코스피 200 헬스케어,KRX,주식
KR7447780008,447780,미래에셋 TIGER 23-12 국공채액티브증권상장지수투자신탁(채권),TIGER 23-12 국공채액티브,2022/12/09,KIS 국공채 2312만기형 지수(총수익지수),KIS 채권평가,채권
KR7447820002,447820,미래에셋 TIGER 24-10 회사채(A+이상)액티브증권상장지수투자신탁(채권),TIGER 24-10 회사채(A+이상)액티브,2022/11/22,KIS 회사채 2410만기형 지수(총수익지수),KIS 채권평가,채권
KR7305540007,305540,미래에셋 TIGER 2차전지테마증권상장지수투자신탁(주식),TIGER 2차전지테마,2018/09/12,WISE 2차전지 테마 지수,WiseFn,주식
KR7365040005,365040,미래에셋 TIGER AI코리아그로스액티브증권상장지수투자신탁(주식),TIGER AI코리아그로스액티브,2020/09/29,코스피,KRX,주식
KR7357870005,357870,미래에셋 TIGER CD금리투자KIS특별자산상장지수투자신탁(CD-파생형)(합성),TIGER CD금리투자KIS(합성),2020/07/07,KIS CD Index(총수익),KIS 채권평가,기타
KR7400970000,400970,미래에셋 TIGER Fn메타버스증권상장지수투자신탁(주식),TIGER Fn메타버스,2021/10/13,FnGuide 메타버스테마 지수,FnGuide,주식
KR7396500001,396500,미래에셋 TIGER Fn반도체TOP10증권상장지수투자신탁(주식),TIGER Fn반도체TOP10,2021/08/10,FnGuide 반도체TOP10 지수,FnGuide,주식
KR7377990007,377990,미래에셋 TIGER Fn신재생에너지증권상장지수투자신탁(주식),TIGER Fn신재생에너지,2021/03/05,FnGuide 신재생에너지 지수,FnGuide,주식
KR7417630001,417630,미래에셋 TIGER KEDI혁신기업ESG30증권상장지수투자신탁(주식),TIGER KEDI혁신기업ESG30,2022/02/08,KEDI 혁신기업ESG30 지수(시장가격 지수),한국경제신문,주식
KR7412560005,412560,미래에셋 TIGER KRX BBIG K-뉴딜레버리지증권상장지수투자신탁(주식-파생형),TIGER KRX BBIG K-뉴딜레버리지,2021/12/15,KRX BBIG K-뉴딜지수,KRX,주식
KR7364960005,364960,미래에셋 TIGER KRX BBIG K-뉴딜증권상장지수투자신탁(주식),TIGER KRX BBIG K-뉴딜,2020/10/07,KRX BBIG K-뉴딜지수,KRX,주식
KR7412570004,412570,미래에셋 TIGER KRX2차전지K-뉴딜레버리지증권상장지수투자신탁(주식-파생형),TIGER KRX2차전지K-뉴딜레버리지,2021/12/15,KRX 2차전지 K-뉴딜지수,KRX,주식
KR7364980003,364980,미래에셋 TIGER KRX2차전지K-뉴딜증권상장지수투자신탁(주식),TIGER KRX2차전지K-뉴딜,2020/10/07,KRX 2차전지 K-뉴딜지수,KRX,주식
KR7292160009,292160,미래에셋 TIGER KRX300증권상장지수투자신탁(주식),TIGER KRX300,2018/03/26,KRX 300,KRX,주식
KR7364990002,364990,미래에셋 TIGER KRX게임K-뉴딜증권상장지수투자신탁(주식),TIGER KRX게임K-뉴딜,2020/10/07,KRX 게임 K-뉴딜지수,KRX,주식
KR7404540007,404540,미래에셋 TIGER KRX기후변화솔루션증권상장지수투자신탁(주식),TIGER KRX기후변화솔루션,2021/10/29,KRX 기후변화 솔루션지수,KRX,주식
KR7364970004,364970,미래에셋 TIGER KRX바이오K-뉴딜증권상장지수투자신탁(주식),TIGER KRX바이오K-뉴딜,2020/10/07,KRX 바이오 K-뉴딜지수,KRX,주식
KR7365000009,365000,미래에셋 TIGER KRX인터넷K-뉴딜증권상장지수투자신탁(주식),TIGER KRX인터넷K-뉴딜,2020/10/07,KRX 인터넷 K-뉴딜지수,KRX,주식
KR7300610003,300610,미래에셋 TIGER K게임증권상장지수투자신탁(주식),TIGER K게임,2018/07/24,WISE K게임 테마 지수,WiseFn,주식
KR7138530001,138530,미래에셋 TIGER LG그룹+ 증권상장지수투자신탁(주식),TIGER LG그룹+펀더멘털,2011/03/10,MKF LG그룹+ FW,FnGuide,주식
KR7445910003,445910,미래에셋 TIGER MKF배당귀족증권상장지수투자신탁(주식),TIGER MKF배당귀족,2022/10/18,MKF 배당귀족 지수(시장가격지수),FnGuide,주식
KR7289260002,289260,미래에셋 TIGER MSCI KOREA ESG리더스증권상장지수투자신탁(주식),TIGER MSCI KOREA ESG리더스,2018/02/07,MSCI Korea Country ESG Leaders Capped Index,MSCI,주식
KR7289250003,289250,미래에셋 TIGER MSCI KOREA ESG유니버설증권상장지수투자신탁(주식),TIGER MSCI KOREA ESG유니버설,2018/02/07,MSCI Korea ESG Universal Index,MSCI,주식
KR7310970009,310970,미래에셋 TIGER MSCI Korea Total Return증권상장지수투자신탁(주식),TIGER MSCI Korea TR,2018/11/20,MSCI Korea TR Index,MSCI,주식
KR7143850006,143850,미래에셋 TIGER S&P500선물 증권상장지수투자신탁(주식-파생형),TIGER 미국S&P500선물(H),2011/07/18,S&P 500 Futures Index(ER),S&P,주식
KR7269370003,269370,미래에셋 TIGER S&P글로벌인프라증권상장지수투자신탁 (주식-파생형)(합성),TIGER S&P글로벌인프라(합성),2017/05/16,S&P Global Infrastructure Index,S&P,주식
KR7292150000,292150,미래에셋 TIGER TOP10증권상장지수투자신탁(주식),TIGER TOP10,2018/03/30,FnGuide TOP10 지수,FnGuide,주식
KR7139280002,139280,미래에셋 TIGER 경기방어 증권상장지수투자신탁(주식),TIGER 경기방어,2011/04/06,코스피 200 경기방어소비재,KRX,주식
KR7237440003,237440,미래에셋 TIGER 경기방어혼합 증권상장지수투자신탁(채권혼합),TIGER 경기방어채권혼합,2016/01/27,경기방어소비재 채권혼합 지수,KRX,혼합자산
KR7319640009,319640,미래에셋 TIGER 골드선물특별자산상장지수투자신탁(금-파생형)(H),TIGER 골드선물(H),2019/04/09,S&P GSCI Gold Index(TR),S&P,원자재
KR7160580007,160580,미래에셋 TIGER 구리실물 특별자산상장지수투자신탁(금속),TIGER 구리실물,2012/12/17,S&P GSCI Cash Copper Index,S&P,원자재
KR7114820004,114820,미래에셋 TIGER 국채3 증권상장지수투자신탁(채권),TIGER 국채3년,2009/08/27,KTB INDEX(시장가격),KRX,채권
KR7387270002,387270,미래에셋 TIGER 글로벌BBIG액티브증권상장지수투자신탁(주식-재간접형),TIGER 글로벌BBIG액티브,2021/05/25,NASDAQ 100,NASDAQ,주식
KR7440340008,440340,미래에셋 TIGER 글로벌멀티에셋TIF액티브증권상장지수투자신탁(채권혼합),TIGER 글로벌멀티에셋TIF액티브,2022/08/30,INDXX 멀티에셋인컴 지수(시장가격 지수),Indxx,혼합자산
KR7412770000,412770,미래에셋 TIGER 글로벌메타버스액티브증권상장지수투자신탁(주식),TIGER 글로벌메타버스액티브,2021/12/22,Indxx Global Metaverse Index (Price Return),Indxx,주식
KR7418670006,418670,미래에셋 TIGER 글로벌사이버보안INDXX증권상장지수투자신탁(주식),TIGER 글로벌사이버보안INDXX,2022/02/22,Indxx Cybersecurity 지수 (총수익),Indxx,주식
KR7371450008,371450,미래에셋 TIGER 글로벌클라우드컴퓨팅INDXX증권상장지수투자신탁(주식-파생형),TIGER 글로벌클라우드컴퓨팅INDXX,2020/12/08,Indxx Global Cloud Computing Index(Net Total Return),Indxx,주식
KR7248270001,248270,미래에셋 TIGER 글로벌헬스케어 증권상장지수투자신탁(주식-파생형)(합성),TIGER S&P글로벌헬스케어(합성),2016/07/01,S&P Global 1200 Health Care Index,S&P,주식
KR7139310007,139310,미래에셋 TIGER 금속선물 특별자산상장지수투자신탁(금속-파생형),TIGER 금속선물(H),2011/04/08,S&P GSCI Industrial Metals Select Index(TR),S&P,원자재
KR7139320006,139320,미래에셋 TIGER 금은선물 특별자산상장지수투자신탁(금속-파생형),TIGER 금은선물(H),2011/04/08,S&P GSCI Precious Metals Index(TR),S&P,원자재
KR7137610002,137610,미래에셋 TIGER 농산물선물 특별자산상장지수투자신탁(농산물-파생형),TIGER 농산물선물Enhanced(H),2011/01/11,S&P GSCI Agriculture Enhanced Index(ER),S&P,원자재
KR7272580002,272580,미래에셋 TIGER 단기채권액티브증권상장지수투자신탁(채권),TIGER 단기채권액티브,2017/06/29,KIS MSB 3M PLUS 지수(총수익),KIS 채권평가,채권
KR7157450008,157450,미래에셋 TIGER 단기통안채증권상장지수투자신탁(채권),TIGER 단기통안채,2012/05/16,KIS 통안채 3개월(총수익),KIS 채권평가,채권
KR7105010003,105010,미래에셋 TIGER 라틴 증권상장지수투자신탁(주식),TIGER 라틴35,2008/08/27,BNY Latin America 35 ADR,BNY Mellon,주식
KR7123320004,123320,미래에셋 TIGER 레버리지 증권상장지수투자신탁(주식-파생형),TIGER 레버리지,2010/04/09,코스피 200,KRX,주식
KR7341850006,341850,미래에셋 TIGER 리츠부동산인프라채권TR KIS부동산상장지수투자신탁(재간접형),TIGER 리츠부동산인프라채권TR KIS,2020/05/22,KIS 리츠부동산인프라채권TR 지수,KIS 채권평가,혼합자산
KR7329200000,329200,미래에셋 TIGER 리츠부동산인프라혼합자산상장지수투자신탁(재간접형),TIGER 리츠부동산인프라,2019/07/19,FnGuide 리츠부동산인프라,FnGuide,부동산
KR7147970008,147970,미래에셋 TIGER 모멘텀 증권상장지수투자신탁(주식),TIGER 모멘텀,2011/10/26,FnGuide 모멘텀 지수,FnGuide,주식
KR7448290007,448290,미래에셋 TIGER 미국S&P500TotalReturn증권상장지수투자신탁(주식-파생형)(H),TIGER 미국S&P500TR(H),2022/11/25,S&P 500 Total Return Index,S&P,주식
KR7429000003,429000,미래에셋 TIGER 미국S&P500배당귀족증권상장지수투자신탁(주식),TIGER 미국S&P500배당귀족,2022/05/17,S&P 500 Dividend Aristocrats 지수 (Price Return),S&P,주식
KR7360750004,360750,미래에셋 TIGER 미국S&P500증권상장지수투자신탁(주식),TIGER 미국S&P500,2020/08/07,S&P 500,S&P,주식
KR7435420005,435420,미래에셋 TIGER 미국나스닥100TR채권혼합Fn증권상장지수투자신탁(채권혼합),TIGER 미국나스닥100TR채권혼합Fn,2022/07/06,FnGuide 나스닥100 채권혼합 지수(총수익 지수),FnGuide,혼합자산
KR7448300004,448300,미래에셋 TIGER 미국나스닥100TotalReturn증권상장지수투자신탁(주식-파생형)(H),TIGER 미국나스닥100TR(H),2022/11/25,NASDAQ-100 Total Return Index,NASDAQ,주식
KR7418660007,418660,미래에셋 TIGER 미국나스닥100레버리지증권상장지수투자신탁(주식혼합-파생형)(합성),TIGER 미국나스닥100레버리지(합성),2022/02/22,NASDAQ 100,NASDAQ,주식
KR7133690008,133690,미래에셋 TIGER 미국나스닥100증권상장지수투자신탁(주식),TIGER 미국나스닥100,2010/10/18,NASDAQ 100,NASDAQ,주식
KR7441680006,441680,미래에셋 TIGER 미국나스닥100커버드콜증권상장지수투자신탁(주식-파생형)(합성),TIGER 미국나스닥100커버드콜(합성),2022/09/22,Cboe Nasdaq-100 BuyWrite V2 지수 (Total Return),NASDAQ,주식
KR7429010002,429010,미래에셋 TIGER 미국나스닥넥스트100증권상장지수투자신탁(주식),TIGER 미국나스닥넥스트100,2022/05/17,Nasdaq Next Generation 100 지수 (Price Return),NASDAQ,주식
KR7245340005,245340,미래에셋 TIGER 미국다우존스30 증권상장지수투자신탁(주식-파생형),TIGER 미국다우존스30,2016/07/01,Dow Jones Industrial Average,S&P,주식
KR7329750004,329750,미래에셋 TIGER 미국달러단기채권액티브증권상장지수투자신탁(채권-파생형),TIGER 미국달러단기채권액티브,2019/07/24,KIS U.S. TREASURY BOND 0-1Y 지수(총수익),KIS 채권평가,채권
KR7261110001,261110,미래에셋 TIGER 미국달러선물레버리지특별자산상장지수투자신탁(달러-파생형),TIGER 미국달러선물레버리지,2016/12/27,미국달러선물지수,KRX,통화
KR7261120000,261120,미래에셋 TIGER 미국달러선물인버스2X특별자산상장지수투자신탁(달러-파생형),TIGER 미국달러선물인버스2X,2016/12/27,미국달러선물지수,KRX,통화
KR7305080004,305080,미래에셋 TIGER 미국채10년선물증권상장지수투자신탁(채권-파생형),TIGER 미국채10년선물,2018/08/30,S&P 10-Year U.S. Treasury Note Futures(ER),S&P,채권
KR7381170000,381170,미래에셋 TIGER 미국테크TOP10 INDXX증권상장지수투자신탁(주식),TIGER 미국테크TOP10 INDXX,2021/04/09,Indxx US Tech Top 10 Index,Indxx,주식
KR7381180009,381180,미래에셋 TIGER 미국필라델피아반도체나스닥증권상장지수투자신탁(주식),TIGER 미국필라델피아반도체나스닥,2021/04/09,PHLX Semiconductor Sector Index,NASDAQ,주식
KR7228810008,228810,미래에셋 TIGER 미디어컨텐츠 증권상장지수투자신탁(주식),TIGER 미디어컨텐츠,2015/10/07,WISE 미디어컨텐츠 지수,WiseFn,주식
KR7091230003,091230,미래에셋 TIGER 반도체 증권상장지수투자신탁(주식),TIGER 반도체,2006/06/27,KRX 반도체,KRX,주식
KR7098560006,098560,미래에셋 TIGER 방송통신증권상장지수투자신탁(주식),TIGER 방송통신,2007/09/07,KRX 방송통신,KRX,주식
KR7138520002,138520,미래에셋 TIGER 삼성그룹 증권상장지수투자신탁(주식),TIGER 삼성그룹펀더멘털,2011/03/07,MKF SAMs FW,FnGuide,주식
KR7157490004,157490,미래에셋 TIGER 소프트웨어 증권상장지수투자신탁(주식),TIGER 소프트웨어,2012/05/16,FnGuide 소프트웨어 지수,FnGuide,주식
KR7228800009,228800,미래에셋 TIGER 여행레저 증권상장지수투자신탁(주식),TIGER 여행레저,2015/10/07,WISE 여행레저 지수,WiseFn,주식
KR7227570009,227570,미래에셋 TIGER 우량가치 증권상장지수투자신탁(주식),TIGER 우량가치,2015/09/23,FnGuide 퀄리티밸류 지수,FnGuide,주식
KR7261140008,261140,미래에셋 TIGER 우선주증권상장지수투자신탁(주식),TIGER 우선주,2017/01/06,코스피 우선주 지수,KRX,주식
KR7130680002,130680,미래에셋 TIGER 원유선물 특별자산상장지수투자신탁(원유-파생형),TIGER 원유선물Enhanced(H),2010/08/02,S&P GSCI Crude Oil Enhanced Index ER,S&P,원자재
KR7245350004,245350,미래에셋 TIGER 유로스탁스배당30 증권상장지수투자신탁(주식-파생형),TIGER 유로스탁스배당30,2016/07/01,Euro STOXX Select Dividend 30,STOXX,주식
KR7091220004,091220,미래에셋 TIGER 은행 증권상장지수투자신탁(주식),TIGER 은행,2006/06/27,KRX 은행,KRX,주식
KR7307510008,307510,미래에셋 TIGER 의료기기증권상장지수투자신탁(주식),TIGER 의료기기,2018/11/08,FnGuide 의료기기 지수,FnGuide,주식
KR7236350005,236350,미래에셋 TIGER 인도레버리지증권상장지수투자신탁(주식혼합-파생형)(합성),TIGER 인도니프티50레버리지(합성),2016/05/13,Nifty 50 Index,IISL(India Index Services and Products Ltd),주식
KR7123310005,123310,미래에셋 TIGER 인버스 증권상장지수투자신탁(주식-파생형),TIGER 인버스,2010/03/29,코스피 200 선물지수,KRX,주식
KR7241180009,241180,미래에셋 TIGER 일본니케이225증권상장지수투자신탁(주식-파생형),TIGER 일본니케이225,2016/03/31,Nikkei 225,Nikkei,주식
KR7292560000,292560,미래에셋 TIGER 일본엔선물특별자산상장지수투자신탁(엔-파생형),TIGER 일본엔선물,2018/04/17,엔선물지수,KRX,통화
KR7150460004,150460,미래에셋 TIGER 중국소비테마 증권상장지수투자신탁(주식),TIGER 중국소비테마,2011/12/16,FnGuide 중국내수테마 지수,FnGuide,주식
KR7302190004,302190,미래에셋 TIGER 중장기국채증권상장지수투자신탁(채권-파생형),TIGER 중장기국채,2018/07/20,KIS 국채 3-10년 지수(시장가격지수),KIS 채권평가,채권
KR7157500000,157500,미래에셋 TIGER 증권 증권상장지수투자신탁(주식),TIGER 증권,2012/05/16,FnGuide 증권 지수,FnGuide,주식
KR7307520007,307520,미래에셋 TIGER 지주회사증권상장지수투자신탁(주식),TIGER 지주회사,2018/11/08,FnGuide 지주회사 지수,FnGuide,주식
KR7117690008,117690,미래에셋 TIGER 차이나 증권상장지수투자신탁(주식),TIGER 차이나항셍25,2009/10/21,Hang Seng China (Hong Kong-listed) 25 Index,HangSeng,주식
KR7245360003,245360,미래에셋 TIGER 차이나HSCEI증권상장지수투자신탁(주식-파생형),TIGER 차이나HSCEI,2016/06/16,Hang Seng China H,HangSeng,주식
KR7414780007,414780,미래에셋 TIGER 차이나과창판STAR50증권상장지수투자신탁(주식-파생형)(합성),TIGER 차이나과창판STAR50(합성),2022/01/13,STAR 50 Index(Price Return),CSI,주식
KR7371470006,371470,미래에셋 TIGER 차이나바이오테크SOLACTIVE증권상장지수투자신탁(주식-파생형),TIGER 차이나바이오테크SOLACTIVE,2020/12/08,Solactive China Biotech Index(Net Total Return),Solactive,주식
KR7396520009,396520,미래에셋 TIGER 차이나반도체FACTSET증권상장지수투자신탁(주식-파생형),TIGER 차이나반도체FACTSET,2021/08/10,FactSet China Semiconductor 지수(Net Total Return),FACTSET,주식
KR7371460007,371460,미래에셋 TIGER 차이나전기차SOLACTIVE증권상장지수투자신탁(주식-파생형),TIGER 차이나전기차SOLACTIVE,2020/12/08,Solactive China Electric Vehicle Index(Net Total Return),Solactive,주식
KR7396510000,396510,미래에셋 TIGER 차이나클린에너지SOLACTIVE증권상장지수투자신탁(주식-파생형),TIGER 차이나클린에너지SOLACTIVE,2021/08/10,Solactive China Clean Energy 지수(Net Total Return),Solactive,주식
KR7438320004,438320,미래에셋 TIGER 차이나항셍테크레버리지증권상장지수투자신탁(주식혼합-파생)(합성 H),TIGER 차이나항셍테크레버리지(합성 H),2022/08/23,Hang Seng TECH Index,HangSeng,주식
KR7371160003,371160,미래에셋 TIGER 차이나항셍테크증권상장지수투자신탁(주식),TIGER 차이나항셍테크,2020/12/16,Hang Seng TECH Index,HangSeng,주식
KR7166400002,166400,미래에셋 TIGER 커버드콜5%OTM증권상장지수투자신탁(주식-파생형),TIGER 200커버드콜5%OTM,2012/10/25,코스피 200 커버드콜 5% OTM,KRX,주식
KR7233160001,233160,미래에셋 TIGER 코스닥150 레버리지증권상장지수투자신탁(주식-파생형),TIGER 코스닥150 레버리지,2015/12/17,코스닥 150,KRX,주식
KR7232080002,232080,미래에셋 TIGER 코스닥150 증권상장지수투자신탁(주식),TIGER 코스닥150,2015/11/12,코스닥 150,KRX,주식
KR7261060008,261060,미래에셋 TIGER 코스닥150IT증권상장지수투자신탁(주식),TIGER 코스닥150IT,2016/12/15,코스닥 150 정보기술,KRX,주식
KR7261070007,261070,미래에셋 TIGER 코스닥150바이오테크증권상장지수투자신탁(주식),TIGER 코스닥150바이오테크,2016/12/15,코스닥 150 헬스케어,KRX,주식
KR7250780004,250780,미래에셋 TIGER 코스닥150인버스증권상장지수투자신탁(주식-파생형),TIGER 코스닥150선물인버스,2016/08/10,F-코스닥150 지수,KRX,주식
KR7277640009,277640,미래에셋 TIGER 코스피대형주증권상장지수투자신탁(주식),TIGER 코스피대형주,2017/08/31,코스피 대형주,KRX,주식
KR7277650008,277650,미래에셋 TIGER 코스피중형주증권상장지수투자신탁(주식),TIGER 코스피중형주,2017/08/31,코스피 중형주,KRX,주식
KR7277630000,277630,미래에셋 TIGER 코스피증권상장지수투자신탁(주식),TIGER 코스피,2017/08/31,코스피,KRX,주식
KR7376410007,376410,미래에셋 TIGER 탄소효율그린뉴딜증권상장지수투자신탁(주식),TIGER 탄소효율그린뉴딜,2021/02/05,KRX/S&P 탄소효율 그린뉴딜지수,KRX,주식
KR7447770009,447770,미래에셋 TIGER 테슬라채권혼합Fn증권상장지수투자신탁(채권혼합),TIGER 테슬라채권혼합Fn,2022/11/29,FnGuide 테슬라채권혼합 지수,FnGuide,혼합자산
KR7438330003,438330,미래에셋 TIGER 투자등급회사채액티브증권상장지수투자신탁(채권),TIGER 투자등급회사채액티브,2022/08/23,KIS 투자등급회사채 지수(총수익),KIS 채권평가,채권
KR7387280001,387280,미래에셋 TIGER 퓨처모빌리티액티브증권상장지수투자신탁(주식),TIGER 퓨처모빌리티액티브,2021/05/25,FnGuide 퓨처모빌리티 지수,FnGuide,주식
KR7449690007,449690,미래에셋 TIGER 한중반도체증권상장지수투자신탁(주식-파생형)(합성),TIGER 한중반도체(합성),2022/12/22,KRX CSI 한·중 반도체지수,KRX,주식
KR7449680008,449680,미래에셋 TIGER 한중전기차증권상장지수투자신탁(주식-파생형)(합성),TIGER 한중전기차(합성),2022/12/22,KRX CSI 한·중 전기차지수,KRX,주식
KR7143860005,143860,미래에셋 TIGER 헬스케어 증권상장지수투자신탁(주식),TIGER 헬스케어,2011/07/18,KRX 헬스케어,KRX,주식
KR7138540000,138540,미래에셋 TIGER 현대차그룹+ 증권상장지수투자신탁(주식),TIGER 현대차그룹+펀더멘털,2011/03/10,MKF 현대차그룹+ FW,FnGuide,주식
KR7228790002,228790,미래에셋 TIGER 화장품 증권상장지수투자신탁(주식),TIGER 화장품,2015/10/07,WISE 화장품 지수,WiseFn,주식
KR7394670004,394670,미래에셋 TIGER글로벌리튬&2차전지SOLACTIVE증권상장지수투자신탁(주식-파생형)(합성),TIGER 글로벌리튬&2차전지SOLACTIVE(합성),2021/07/20,Solactive Global Lithium 지수(Net Total Return),Solactive,주식
KR7394660005,394660,미래에셋 TIGER글로벌자율주행&전기차SOLACTIVE증권상장지수투자신탁(주식-파생형),TIGER 글로벌자율주행&전기차SOLACTIVE,2021/07/20,Solactive Autonomous & Electric Vehicles 지수(Net Total Return),Solactive,주식
KR7276000007,276000,미래에셋 TIGER모닝스타글로벌자원생산기업증권상장지수투자신탁(주식-파생형)(합성H),TIGER 글로벌자원생산기업(합성 H),2017/08/01,MorningStar Global Upstream Resources Index(PR),MorningStar,주식
KR7449170000,449170,미래에셋TIGER KOFR금리액티브증권상장지수투자신탁(채권혼합-파생형)(합성),TIGER KOFR금리액티브(합성),2022/11/30,KOFR 지수,한국예탁결제원,기타
KR7139260004,139260,미래에셋TIGER200IT증권상장지수투자신탁(주식),TIGER 200 IT,2011/04/06,코스피 200 정보기술,KRX,주식
KR7139220008,139220,미래에셋TIGER200건설증권상장지수투자신탁(주식),TIGER 200 건설,2011/04/06,코스피 200 건설,KRX,주식
KR7139290001,139290,미래에셋TIGER200경기소비재증권상장지수투자신탁(주식),TIGER 200 경기소비재,2011/04/06,코스피 200 경기소비재,KRX,주식
KR7139270003,139270,미래에셋TIGER200금융증권상장지수투자신탁(주식),TIGER 200 금융,2011/04/06,코스피 200 금융,KRX,주식
KR7139250005,139250,미래에셋TIGER200에너지화학증권상장지수투자신탁(주식),TIGER 200 에너지화학,2011/04/06,코스피 200 에너지/화학,KRX,주식
KR7139230007,139230,미래에셋TIGER200중공업증권상장지수투자신탁(주식),TIGER 200 중공업,2011/04/06,코스피 200 중공업,KRX,주식
KR7139240006,139240,미래에셋TIGER200철강소재증권상장지수투자신탁(주식),TIGER 200 철강소재,2011/04/06,코스피 200 철강/소재,KRX,주식
KR7228820007,228820,미래에셋TIGERKTOP30증권상장지수투자신탁(주식),TIGER KTOP30,2015/10/14,KTOP 30,KRX,주식
KR7225060003,225060,미래에셋TIGERMSCIEM레버리지증권상장지수투자신탁(주식혼합-파생형)(합성 H),TIGER 이머징마켓MSCI레버리지(합성 H),2015/07/29,MSCI EM Index,MSCI,주식
KR7182480004,182480,미래에셋TIGERMSCIUS리츠부동산상장지수투자신탁(파생형)(합성 H),TIGER 미국MSCI리츠(합성 H),2013/10/10,MSCI US REIT Index,MSCI,부동산
KR7225040005,225040,미래에셋TIGERS&P500레버리지증권상장지수투자신탁(주식혼합-파생형)(합성 H),TIGER 미국S&P500레버리지(합성 H),2015/07/29,S&P 500,S&P,주식
KR7225030006,225030,미래에셋TIGERS&P500인버스선물증권상장지수투자신탁(주식-파생형)(H),TIGER 미국S&P500선물인버스(H),2015/07/29,S&P 500 Futures Total Return Index,S&P,주식
KR7203780002,203780,미래에셋TIGER나스닥바이오증권상장지수투자신탁(주식),TIGER 미국나스닥바이오,2014/08/27,NASDAQ Biotechnology 지수(시장가격지수),NASDAQ,주식
KR7182490003,182490,미래에셋TIGER단기선진국하이일드증권상장지수투자신탁(채권-파생형)(합성 H),TIGER 단기선진하이일드(합성 H),2014/03/24,Markit iBoxx USD Liquid High Yield 0-5 year 지수,Markit,채권
KR7174350009,174350,미래에셋TIGER로우볼증권상장지수투자신탁(주식),TIGER 로우볼,2013/06/20,FnGuide Low Vol 지수,FnGuide,주식
KR7275980001,275980,미래에셋TIGER모닝스타글로벌4차산업혁신기술증권상장지수투자신탁(주식-파생형)합성H,TIGER 글로벌4차산업혁신기술(합성 H),2017/08/01,MorningStar Exponential Technologies Index(PR),MorningStar,주식
KR7211560008,211560,미래에셋TIGER배당성장증권상장지수투자신탁(주식),TIGER 배당성장,2014/12/17,코스피 배당성장 50,KRX,주식
KR7217770007,217770,미래에셋TIGER원유인버스선물특별자산상장지수투자신탁(원유-파생형)(H),TIGER 원유선물인버스(H),2015/04/29,S&P GSCI Crude Oil Index ER,S&P,원자재
KR7225050004,225050,미래에셋TIGER유로스탁스50레버리지증권상장지수투자신탁(주식혼합-파생형)(합성 H),TIGER 유로스탁스레버리지(합성 H),2015/07/29,EURO STOXX 50 Index,STOXX,주식
